id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
,#country+name,#country+iso3,#geo+lat,#geo+lon,,,#event+displacement_type,#total,#affected+displaced,#date+displacement,#date+displacement+start,#date+displacement+end,#date+year,,#event+name,,,#date+event+start,#date+event+end,,,#event+type,#event+subtype,,,,,,,,,#date+created,#description,#meta+url,#cause
184565,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,7555,2025-06-03,2025-05-28,2025-06-03,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-06/Population%20Movement%20Monitoring%20Flash-Update%2016.pdf,"Gaza Strip, Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-06-04T11:18:20.683882Z,"Palestine: 7,555 displacements, 28 May - 03 June. International armed conflict (iac) resulted in a total of 7555 people being displaced in the Gaza Strip, between 28 May and 3 June, according to the Site Management Cluster - Palestine",https://www.cccmcluster.org/sites/default/files/2025-06/Population%20Movement%20Monitoring%20Flash-Update%2016.pdf,Conflict
184368,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,22743,2025-05-27,2025-05-23,2025-05-27,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-05/Population%20Movement%20Monitoring%20Flash-Update%2015.pdf,"Gaza Strip, Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-05-31T10:13:43.357892Z,"Palestine: 22,743 displacements, 23 May - 27 May. A total of 22743 people were displaced due to international armed conflict (iac) between 23 and 27 May in the Gaza Strip, according to the Site Management Cluster - Palestine",https://www.cccmcluster.org/sites/default/files/2025-05/Population%20Movement%20Monitoring%20Flash-Update%2015.pdf,Conflict
184141,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,10871,2025-05-22,2025-05-22,2025-05-22,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-05/Population%20Movement%20Monitoring%20%20Ad-Hoc%20Update%207-%2005222025.pdf,"Gaza Strip, Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-05-26T09:42:57.292879Z,"Palestine: 10,871 displacements, 22 May - 22 May. International armed conflict (iac) resulted in a total of 10871 people being displaced in Gaza Strip on 22 May, according to the Site Management Cluster - Palestine",https://www.cccmcluster.org/sites/default/files/2025-05/Population%20Movement%20Monitoring%20%20Ad-Hoc%20Update%207-%2005222025.pdf,Conflict
184140,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,22548,2025-05-21,2025-05-21,2025-05-21,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-05/Population%20Movement%20Monitoring%20%20Ad-Hoc%20Update%20-%2005212025.pdf,"Gaza Strip, Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-05-26T09:38:09.819255Z,"Palestine: 22,548 displacements, 21 May - 21 May. International armed conflict (iac) resulted in a total of 22548 people being displaced in Gaza on 21 May, according to the Site Management Cluster - Palestine",https://www.cccmcluster.org/sites/default/files/2025-05/Population%20Movement%20Monitoring%20%20Ad-Hoc%20Update%20-%2005212025.pdf,Conflict
184139,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,41734,2025-05-20,2025-05-20,2025-05-20,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-05/Population%20Movement%20Monitoring%20%20Ad-Hoc%20Update%20-%2005192025.pdf,"Gaza Strip, Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-05-26T09:33:56.878240Z,"Palestine: 41,734 displacements, 20 May - 20 May. International armed conflict (iac) resulted in a total of 41734 people being displaced in Gaza Strip on 20 May, according to the Site Management Cluster- Palestine",https://www.cccmcluster.org/sites/default/files/2025-05/Population%20Movement%20Monitoring%20%20Ad-Hoc%20Update%20-%2005192025.pdf,Conflict
184138,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,33681,2025-05-19,2025-05-19,2025-05-19,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-05/Population%20Movement%20Monitoring%20%20Ad-Hoc%20Update%20-%2005192025%20%281%29%20%281%29.pdf,"Gaza Strip, Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-05-26T09:30:09.258742Z,"Palestine: 33,681 displacements, 19 May - 19 May. International armed conflict (iac) resulted in a total of 33681 people being displaced in the Gaza Strip, on 19 May, according to the Site Management Cluster - Palestine.",https://www.cccmcluster.org/sites/default/files/2025-05/Population%20Movement%20Monitoring%20%20Ad-Hoc%20Update%20-%2005192025%20%281%29%20%281%29.pdf,Conflict
184137,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,29178,2025-05-18,2025-05-18,2025-05-18,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-05/Population%20Movement%20Monitoring%20%20Ad-Hoc%20Update%20-%2005182025.pdf,"Gaza Strip,  Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-05-26T09:26:05.608139Z,"Palestine: 29,178 displacements, 18 May - 18 May. According to clusters and consortias, a total of 29178 people were displaced in the Gaza Strip, Gaza Strip due to international armed conflict (iac) on 18 May",https://www.cccmcluster.org/sites/default/files/2025-05/Population%20Movement%20Monitoring%20%20Ad-Hoc%20Update%20-%2005182025.pdf,Conflict
183893,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,15215,2025-05-17,2025-05-15,2025-05-17,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://reliefweb.int/report/occupied-palestinian-territory/gaza-population-movement-monitoring-flash-update-15-17-may-2025-ad-hoc-report,"Gaza Strip, Gaza Strip, Palestinian Territories","31.43317, 34.37793",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-05-19T13:26:46.027191Z,"Palestine: 15,215 displacements, 15 May - 17 May. International armed conflict (iac) resulted in a total of 15,215 people being displaced in the Gaza Strip, between May 16 and May 17, according to the Site Management Cluster - Palestine",https://reliefweb.int/report/occupied-palestinian-territory/gaza-population-movement-monitoring-flash-update-15-17-may-2025-ad-hoc-report,Conflict
184132,Palestine,PSE,31.43317,34.37793,"[31.43317, 34.37793]",Recommended figure,Conflict,total,20700,2025-05-16,2025-05-14,2025-05-16,2025,30896,Palestine:  International armed conflict (IAC) (Hostilities Gaza/Israel) - Gaza Strip - 01/01/2025,,,2025-01-01,2025-12-31,,,,,,Site Management Cluster - Palestine,https://www.cccmcluster.org/sites/default/files/2025-05/Population%20Movement%20Monitoring%20-%20Ad-hoc%20Update%201.pdf,"Gaza Strip, Gaza Strip, Palestinian Territories","31.43317, 34.37793",Point,Origin,Displacement without preventive evacuations reported,2025-05-26T08:36:00.288604Z,"Palestine: 20,700 displacements, 14 May - 16 May. International armed conflict (iac) resulted in a total of 20700 people being displaced in the Gaza Strip between 14 - 16 May, according to the Site Management Cluster- Palestine",https://www.cccmcluster.org/sites/default/files/2025-05/Population%20Movement%20Monitoring%20-%20Ad-hoc%20Update%201.pdf,Conflict
